timestamp,epoch_time_ns,packet_number,inter_arrival_time_ms,timing_jitter,src_mac,dst_mac,bssid,frame_type,frame_subtype,frame_size,signal_strength_dbm,channel,frequency_mhz,vendor_oui,supported_rates,ht_capabilities,encryption_type,sequence_number,retry_flag,power_management,packet_direction,ssid,beacon_interval,tsf_timestamp,device_capability_hash,burst_indicator,temporal_pattern_hash
2025-10-10 13:25:06.424373,1760102706424381488,1,0,0,94:83:c4:62:34:ae,ff:ff:ff:ff:ff:ff,94:83:c4:62:34:ae,0,8,298,-27,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef091fffff000001,WPA2,833,0,0,broadcast,GL-SFT1200-4ab-5G,100,9682534396,9c967656,1,562e71ee
2025-10-10 13:25:06.550777,1760102706550800493,2,126.479736328125,0,7c:5e:98:21:56:66,ff:ff:ff:ff:ff:ff,7c:5e:98:21:56:66,0,8,355,-33,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef0103ffff000000,WPA2,1289,0,0,broadcast,Tanish,100,3601779917556,64218fd4,0,03643c5b
2025-10-10 13:25:06.586241,1760102706586249712,3,35.388427734375,0,94:83:c4:62:34:ae,ff:ff:ff:ff:ff:ff,94:83:c4:62:34:ae,0,8,298,-29,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef091fffff000001,WPA2,834,0,0,broadcast,GL-SFT1200-4ab-5G,100,9682636797,b3946909,1,562e71ee
2025-10-10 13:25:06.626535,1760102706626543257,4,40.293701171875,39.39496527777778,7c:5e:98:21:56:66,ff:ff:ff:ff:ff:ff,7c:5e:98:21:56:66,0,8,355,-36,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef0103ffff000000,WPA2,1290,0,0,broadcast,Tanish,100,3601780019956,c5f11218,1,9ad5774f
2025-10-10 13:25:06.648669,1760102706648677085,5,22.128662109375,35.20355224609375,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,2,4,60,-23,5180,None,,,None,,4035,0,0,unicast,,None,None,edcf3951,1,29800519
2025-10-10 13:25:06.651088,1760102706651096266,6,2.42041015625,32.45501953125,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,0,13,69,-20,5180,None,,,None,,4036,0,0,unicast,,None,None,bd14f12d,1,ba570a23
2025-10-10 13:25:06.653521,1760102706653528656,7,2.43310546875,30.130696614583332,94:83:c4:62:34:ae,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,0,13,69,-30,5180,None,,,None,,835,0,0,unicast,,None,None,0850cd1c,1,9636e696
2025-10-10 13:25:06.672787,1760102706672795435,8,19.27001953125,27.370854591836736,94:83:c4:62:34:ae,ff:ff:ff:ff:ff:ff,94:83:c4:62:34:ae,0,8,298,-29,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef091fffff000001,WPA2,836,0,0,broadcast,GL-SFT1200-4ab-5G,100,9682739203,b3946909,1,659389c6
2025-10-10 13:25:06.729935,1760102706729945997,9,57.15869140625,27.335586547851562,7c:5e:98:21:56:66,ff:ff:ff:ff:ff:ff,7c:5e:98:21:56:66,0,8,355,-34,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef0103ffff000000,WPA2,1291,0,0,broadcast,Tanish,100,3601780122356,2a7a4362,0,5ce35d83
2025-10-10 13:25:06.741890,1760102706741899955,10,11.950439453125,26.266474971064813,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,2,4,60,-21,5180,None,,,None,,4037,0,1,unicast,,None,None,494d4200,1,7b814e23
2025-10-10 13:25:06.762808,1760102706762816758,11,20.912353515625,24.789267578125,94:83:c4:62:34:ae,ff:ff:ff:ff:ff:ff,94:83:c4:62:34:ae,0,8,298,-28,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef091fffff000001,WPA2,837,0,0,broadcast,GL-SFT1200-4ab-5G,100,9682841602,39f10a03,1,089db1de
2025-10-10 13:25:06.764428,1760102706764435666,12,1.614501953125,13.908271484375001,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,2,4,60,-20,5180,None,,,None,,4038,0,0,unicast,,None,None,2954fe17,1,75b7be02
2025-10-10 13:25:06.863348,1760102706863366416,13,98.98828125,22.6579248046875,7c:5e:98:21:56:66,ff:ff:ff:ff:ff:ff,7c:5e:98:21:56:66,0,8,355,-35,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef0103ffff000000,WPA2,1292,0,0,broadcast,Tanish,100,3601780224756,88c9a7b1,0,cd7d87b1
2025-10-10 13:25:06.880550,1760102706880560589,14,17.146240234375,21.068486328124997,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,2,4,60,-23,5180,None,,,None,,4039,0,1,unicast,,None,None,edcf3951,1,74d08bed
2025-10-10 13:25:06.897869,1760102706897877290,15,17.31103515625,21.26119140625,94:83:c4:62:34:ae,ff:ff:ff:ff:ff:ff,94:83:c4:62:34:ae,0,8,298,-28,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef091fffff000001,WPA2,838,0,0,broadcast,GL-SFT1200-4ab-5G,100,9682944003,39f10a03,1,10f3c861
2025-10-10 13:25:06.917556,1760102706917565016,16,19.6884765625,20.570468749999996,7c:5e:98:21:56:66,ff:ff:ff:ff:ff:ff,7c:5e:98:21:56:66,0,8,355,-34,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef0103ffff000000,WPA2,1293,0,0,broadcast,Tanish,100,3601780327156,2a7a4362,1,059758af
2025-10-10 13:25:06.939269,1760102706939276836,17,21.70703125,19.79951171875,de:38:8a:bc:82:42,7c:5e:98:21:56:66,7c:5e:98:21:56:66,2,4,60,-26,5180,None,,,None,,1630,0,0,unicast,,None,None,f4c8e606,1,ac160945
2025-10-10 13:25:06.987293,1760102706987300693,18,48.0244140625,21.964189453125,de:38:8a:bc:82:42,7c:5e:98:21:56:66,7c:5e:98:21:56:66,2,4,60,-26,5180,None,,,None,,1631,0,1,unicast,,None,None,f4c8e606,1,2f617d0f
2025-10-10 13:25:06.993128,1760102706993136737,19,5.839599609375,18.875244140625,94:83:c4:62:34:ae,ff:ff:ff:ff:ff:ff,94:83:c4:62:34:ae,0,8,298,-29,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef091fffff000001,WPA2,839,0,0,broadcast,GL-SFT1200-4ab-5G,100,9683046403,b3946909,1,f6730e17
2025-10-10 13:25:06.994827,1760102706994834563,20,1.694091796875,19.285498046875,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,2,4,60,-21,5180,None,,,None,,4040,0,0,unicast,,None,None,494d4200,1,f4076b60
2025-10-10 13:25:07.012868,1760102707012876279,21,18.045654296875,19.400166015625,7c:5e:98:21:56:66,ff:ff:ff:ff:ff:ff,7c:5e:98:21:56:66,0,8,355,-34,5180,None,0050f2,"6.0,9.0,12.0,18.0,24.0,36.0,48.0,54.0",ef0103ffff000000,WPA2,1294,0,0,broadcast,Tanish,100,3601780429556,2a7a4362,1,fa8e2a95
2025-10-10 13:25:07.014367,1760102707014375017,22,1.494384765625,19.404970703125002,de:38:8a:bc:82:42,7c:5e:98:21:56:66,7c:5e:98:21:56:66,2,4,60,-25,5180,None,,,None,,1632,0,0,unicast,,None,None,386df277,1,11e7f49b
2025-10-10 13:25:07.048095,1760102707048102983,23,33.728515625,9.85533203125,82:dc:5f:3b:9c:c5,94:83:c4:62:34:ae,94:83:c4:62:34:ae,2,4,60,-20,5180,None,,,None,,4041,0,1,unicast,,None,None,2954fe17,1,11d57b50
2025-10-10 13:25:07.062059,1760102707062066391,24,13.962890625,10.11,de:38:8a:bc:82:42,7c:5e:98:21:56:66,7c:5e:98:21:56:66,2,4,60,-27,5180,None,,,None,,1633,1,1,unicast,,None,None,5b028485,1,baa29331
